,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T03:30:00Z,82382,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T04:00:00Z,82382,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T04:30:00Z,84281,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T05:00:00Z,84281,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T05:30:00Z,84705,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T06:00:00Z,84705,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T06:30:00Z,84705,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T07:00:00Z,84705,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T07:30:00Z,187074,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T08:00:00Z,187074,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T08:30:00Z,100683,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
,,0,2025-12-16T21:41:38.5759694Z,2025-12-23T21:41:38.5759694Z,2025-12-19T09:00:00Z,100683,consumo_MedidorAtlas7_hora,COMPRESORES_AIRE
