timestamp,_time,_value,_measurement,_field,equipo,campo_equipo
2026-01-06 13:55:00.000000,2026-01-06T13:55:00+00:00,11493.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:56:00.000000,2026-01-06T13:56:00+00:00,11682.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:57:00.000000,2026-01-06T13:57:00+00:00,12978.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:58:00.000000,2026-01-06T13:58:00+00:00,11619.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 13:59:00.000000,2026-01-06T13:59:00+00:00,7553.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:00:00.000000,2026-01-06T14:00:00+00:00,3321.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:01:00.000000,2026-01-06T14:01:00+00:00,5436.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:02:00.000000,2026-01-06T14:02:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:03:00.000000,2026-01-06T14:03:00+00:00,9730.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:04:00.000000,2026-01-06T14:04:00+00:00,11196.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:05:00.000000,2026-01-06T14:05:00+00:00,3381.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:06:00.000000,2026-01-06T14:06:00+00:00,354.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:07:00.000000,2026-01-06T14:07:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:08:00.000000,2026-01-06T14:08:00+00:00,1116.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:09:00.000000,2026-01-06T14:09:00+00:00,0.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:10:00.000000,2026-01-06T14:10:00+00:00,9950.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:11:00.000000,2026-01-06T14:11:00+00:00,10386.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:12:00.000000,2026-01-06T14:12:00+00:00,8955.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:13:00.000000,2026-01-06T14:13:00+00:00,2260.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
2026-01-06 14:14:00.000000,2026-01-06T14:14:00+00:00,3515.0,AIRE COMPRIMIDO,COMPRESOR ATLAS 7_consumo_minuto,COMPRESOR ATLAS 7,AIRE COMPRIMIDO_COMPRESOR ATLAS 7_consumo_minuto
